Date,TOTAL_PREDIC
01/05/2001,1897233.578
01/06/2001,1920429.693
01/07/2001,1849360.052
01/08/2001,1871592.456
01/09/2001,1935355.093
01/10/2001,1925903.615
01/11/2001,1992221.585
01/12/2001,2025643.984
01/01/2002,2004017.667
01/02/2002,2123195.909
01/03/2002,2178806.892
01/04/2002,2042598.212
01/05/2002,2048446.808
01/06/2002,1981589.361
01/07/2002,1958238.598
01/08/2002,1979468.181
01/09/2002,2011078.535
01/10/2002,2030379.186
01/11/2002,2098183.011
01/12/2002,2138938.389
01/01/2003,2122750.121
01/02/2003,2198499.816
01/03/2003,2158435.351
01/04/2003,2137852.153
01/05/2003,2064762.662
01/06/2003,2002011.78
01/07/2003,2019958.289
01/08/2003,1994485.99
01/09/2003,2037390.898
01/10/2003,2057713.411
01/11/2003,2124377.942
01/12/2003,2157120.099
01/01/2004,2183799.312
01/02/2004,2233933.123
01/03/2004,2192788.769
01/04/2004,2150392.078
01/05/2004,2135563.856
01/06/2004,2046108.268
01/07/2004,2035776.926
01/08/2004,2000795.787
01/09/2004,2073124.646
01/10/2004,2054151.403
01/11/2004,2089065.799
01/12/2004,2138017.918
01/01/2005,2100478.441
01/02/2005,2194677.971
01/03/2005,2142603.48
01/04/2005,2120163.383
01/05/2005,2063466.033
01/06/2005,1967390.25
01/07/2005,1972342.901
01/08/2005,2011269.266
01/09/2005,2044532.357
01/10/2005,2019449.504
01/11/2005,2078166.115
01/12/2005,2115397.618
01/01/2006,2101337.839
01/02/2006,2193119.483
01/03/2006,2150908.066
01/04/2006,2123136.31
01/05/2006,2032987.281
01/06/2006,1974937.06
01/07/2006,1952831.589
01/08/2006,1971684.306
01/09/2006,2014567.659
01/10/2006,1973695.901
01/11/2006,2021012.291
01/12/2006,2048257.545
01/01/2007,2030557.54
01/02/2007,2114198.653
01/03/2007,2070070.948
01/04/2007,2052045.185
01/05/2007,2010218.459
01/06/2007,1961093.046
01/07/2007,1979236.357
01/08/2007,1989689.648
01/09/2007,2068269.253
01/10/2007,2019918.61
01/11/2007,2069844.85
01/12/2007,2116290.761
01/01/2008,2139216.874
01/02/2008,2304516.629
01/03/2008,2303792.269
01/04/2008,2332648.97
01/05/2008,2350292.674
01/06/2008,2395911.286
01/07/2008,2439175.024
01/08/2008,2491659.213
01/09/2008,2617562.278
01/10/2008,2720818.841
01/11/2008,2967553.288
01/12/2008,3121631.164
01/01/2009,3238810.131
01/02/2009,3468508.887
01/03/2009,3591698.675
01/04/2009,3693749.593
01/05/2009,3681429.991
01/06/2009,3618471.894
01/07/2009,3546137.124
01/08/2009,3546687.198
01/09/2009,3693532.439
01/10/2009,3769127.975
01/11/2009,3876806.495
01/12/2009,3912743.246
01/01/2010,3962465.166
01/02/2010,4126741.619
01/03/2010,4180999.44
01/04/2010,4188202.633
01/05/2010,4128228.292
01/06/2010,4022422.583
01/07/2010,3936051.85
01/08/2010,3870151.852
01/09/2010,4011273.88
01/10/2010,4050342.88
01/11/2010,4129034.794
01/12/2010,4126215.153
01/01/2011,4095363.8
01/02/2011,4308408.136
01/03/2011,4337096.935
01/04/2011,4350187.562
01/05/2011,4227779.928
01/06/2011,4140736.047
01/07/2011,4081709.61
01/08/2011,4056284.466
01/09/2011,4162583.608
01/10/2011,4283024.901
01/11/2011,4437097.265
01/12/2011,4450036.31
01/01/2012,4417038.351
01/02/2012,4696287.764
01/03/2012,4766371.389
01/04/2012,4759747.792
01/05/2012,4725829.933
01/06/2012,4682262.129
01/07/2012,4544284.043
01/08/2012,4560104.91
01/09/2012,4637242.579
01/10/2012,4739996.042
01/11/2012,4894460.923
01/12/2012,4934311.539
01/01/2013,4796026.136
01/02/2013,5040396.292
01/03/2013,5054475.953
01/04/2013,5010669.779
01/05/2013,4940922.684
01/06/2013,4813509.044
01/07/2013,4671872.202
01/08/2013,4646319.685
01/09/2013,4685488.349
01/10/2013,4725909.948
01/11/2013,4847950.416
